freelancer_id,year,quarter,city,gender,age,age_missing_flag,education_level,edu_missing_flag,english_proficiency,english_missing_flag,platform,profile_level,skill_category,primary_skill,account_age_years,experience_years,exp_missing_flag,profile_complete_pct,profile_missing_flag,hourly_rate_usd,monthly_active_hours,hours_missing_flag,monthly_earnings_usd,pkr_usd_rate,monthly_earnings_pkr,jobs_completed,review_score,review_missing_flag,job_success_score_pct,jss_missing_flag,repeat_client_rate_pct,repeat_missing_flag,primary_client_region,payment_method,freelancing_as_primary_income
PK-FL-00011,2023,Q1,Multan,Female,21.0,0,Bachelor's,0,Native/Bilingual,0,Freelancer.com,New Member,Graphic Design,Flyer/Poster Design,5.6,2.1,1,73.0,0,10.0,70.0,0,539.0,233.4,125803.0,2,4.9,0,,1,26.0,0,USA,Wise,Yes
PK-FL-00012,2018,Q3,Dera Ismail Khan,Male,27.0,0,Bachelor's,0,Basic,0,Upwork,No Badge,Accounting & Finance,QuickBooks,3.9,1.6,0,89.0,0,11.2,55.0,0,391.0,129.3,50556.0,10,4.4,0,59.0,0,3.0,0,UK,Payoneer + Wise,No - Side Income
PK-FL-00013,2015,Q4,Karachi,Female,27.0,0,Matric/O-Levels,0,Native/Bilingual,0,Upwork,No Badge,Data Entry & Virtual Assistant,Lead Generation,0.6,1.7,0,61.0,0,3.7,43.0,0,145.0,101.8,14761.0,1,3.3,0,,1,12.0,0,USA,Bank Transfer,No - Student
PK-FL-00014,2025,Q1,Karachi,Male,41.0,0,Bachelor's,0,Conversational,0,Fiverr,New Seller,Graphic Design,Motion Graphics,8.7,4.6,0,84.0,0,9.1,111.0,0,882.0,281.3,248107.0,2,4.6,0,,1,47.0,0,Canada,Payoneer + Wise,Yes
PK-FL-00015,2015,Q1,Karachi,Male,18.0,0,Master's,0,Fluent,0,Upwork,Top Rated,Graphic Design,Logo Design,0.8,0.5,0,93.0,0,9.9,128.0,0,1101.0,103.9,114394.0,49,5.0,0,91.0,0,51.0,0,UK,Wise,Yes
PK-FL-00016,2025,Q4,Peshawar,Male,38.0,0,Self-taught/No Formal Degree,0,Fluent,1,Fiverr,Level 2,Web Development,WordPress,1.3,1.8,0,72.0,0,54.4,52.0,0,1928.0,283.6,546781.0,78,4.9,0,,1,18.0,0,Australia,Payoneer + Bank Transfer,No - Side Income
PK-FL-00017,2023,Q2,Karachi,Male,22.0,0,Master's,0,Conversational,0,Fiverr,Top Rated Seller,Digital Marketing,Content Marketing,5.7,1.8,0,98.0,0,33.4,158.0,0,4046.0,243.2,983987.0,397,4.8,0,,1,58.0,0,Canada,Bank Transfer,No - Student
PK-FL-00018,2018,Q3,Abbottabad,Male,45.0,0,Self-taught/No Formal Degree,0,Fluent,0,Upwork,Expert-Vetted,Web Development,PHP/Laravel,1.6,0.8,0,89.0,0,28.0,145.0,0,2981.0,137.6,410186.0,221,4.7,0,98.0,0,5.0,0,USA,Payoneer + Bank Transfer,Yes
PK-FL-00019,2020,Q4,Lahore,Male,38.0,0,Bachelor's,0,Conversational,0,Fiverr,Level 1,AI & Machine Learning,ChatGPT Integration,2.4,2.6,0,78.0,0,17.6,112.0,0,1535.0,163.6,251126.0,36,4.8,0,,1,44.0,0,Europe,Payoneer + Bank Transfer,No - Side Income
PK-FL-00020,2015,Q3,Lahore,Male,25.0,0,Master's,0,Conversational,0,Freelancer.com,New Member,Web Development,React.js,0.4,1.4,0,69.0,0,13.5,72.0,0,957.0,102.7,98284.0,1,3.7,0,,1,50.0,0,Europe,JazzCash/Easypaisa,Yes
PK-FL-00021,2024,Q3,Sheikhupura,Male,35.0,0,Bachelor's,0,Native/Bilingual,0,Fiverr,Top Rated Seller,Digital Marketing,Content Marketing,7.4,5.9,0,95.0,0,25.5,120.0,0,1983.0,278.8,552860.0,200,4.7,0,,1,66.0,0,UK,Payoneer,Yes
PK-FL-00022,2021,Q3,Rawalpindi,Male,26.0,0,Self-taught/No Formal Degree,0,Fluent,0,Fiverr,New Seller,Data Entry & Virtual Assistant,Excel Processing,6.3,1.8,0,82.0,0,6.5,158.0,0,909.0,175.5,159530.0,4,3.8,0,,1,47.0,0,USA,Payoneer + Wise,No - Side Income
PK-FL-00023,2025,Q2,Multan,Male,38.0,0,Bachelor's,0,Native/Bilingual,0,Upwork,Top Rated Plus,Web Development,Full Stack (MERN),3.2,3.7,0,90.0,0,53.8,36.0,0,1248.0,284.3,354806.0,411,4.8,0,95.0,0,49.0,0,USA,Payoneer + Wise,Yes
PK-FL-00024,2019,Q1,Rawalpindi,Male,28.0,0,Master's,0,Conversational,0,Freelancer.com,Pro Freelancer,Video Editing,Colour Grading,4.8,5.4,0,96.0,0,13.3,45.0,0,586.0,142.2,83329.0,293,3.3,0,,1,11.0,0,Europe,Payoneer,Yes
PK-FL-00025,2018,Q2,Rawalpindi,Male,26.0,0,Bachelor's,0,Fluent,0,Freelancer.com,Verified Pro,Content Writing,Script Writing,1.4,1.3,0,90.0,0,18.4,59.0,0,752.0,137.7,103550.0,138,4.2,0,,1,20.0,0,USA,Wise,No - Side Income
PK-FL-00026,2025,Q1,Hyderabad,Male,44.0,0,Intermediate/A-Levels,0,Conversational,0,Upwork,Rising Talent,Mobile App Development,React Native,6.0,5.0,0,70.0,0,49.3,92.0,1,3281.0,284.3,932788.0,47,3.9,0,89.0,0,33.0,1,Canada,Payoneer + Wise,No - Side Income
PK-FL-00027,2018,Q3,Islamabad,Male,20.0,0,Bachelor's,0,Conversational,0,Fiverr,New Seller,Cybersecurity,Bug Bounty,2.2,2.0,0,68.0,0,12.3,146.0,0,1066.0,110.5,117793.0,3,4.5,0,,1,35.0,0,Europe,Wise,Yes
PK-FL-00028,2020,Q2,Peshawar,Male,28.0,0,Bachelor's,0,Conversational,0,Upwork,Top Rated,Web Development,Node.js,5.6,2.5,0,88.0,0,23.8,18.0,0,369.0,166.0,61254.0,181,4.4,0,95.0,0,41.0,0,Australia,Payoneer,Yes
PK-FL-00029,2015,Q3,Karachi,Male,18.0,0,Bachelor's,0,Fluent,0,Fiverr,New Seller,Cybersecurity,Penetration Testing,0.9,0.5,0,83.0,0,17.9,126.0,0,2130.0,101.2,215556.0,0,,1,,1,30.0,0,USA,Bank Transfer,No - Student
PK-FL-00030,2022,Q4,Rawalpindi,Male,35.0,0,Bachelor's,0,Conversational,0,Fiverr,New Seller,Data Entry & Virtual Assistant,Data Entry,0.4,2.1,1,53.0,0,1.7,92.0,1,124.0,205.4,25470.0,0,,1,,1,14.0,0,UK,JazzCash/Easypaisa,No - Side Income
PK-FL-00031,2025,Q4,Karachi,Male,22.0,0,Bachelor's,0,Fluent,0,Fiverr,Top Rated Seller,Cybersecurity,Bug Bounty,8.7,4.0,0,99.0,0,42.8,137.0,0,4081.0,284.9,1162677.0,643,4.8,0,,1,54.0,0,Europe,Payoneer,Yes
PK-FL-00032,2020,Q3,Peshawar,Male,21.0,0,Self-taught/No Formal Degree,0,Conversational,0,Upwork,No Badge,Web Development,React.js,4.1,1.6,0,64.0,0,30.3,168.0,0,3739.0,159.9,597866.0,8,3.7,0,62.0,0,2.0,0,Canada,Payoneer,No - Side Income
PK-FL-00033,2024,Q2,Karachi,Male,19.0,0,Bachelor's,0,Fluent,0,Fiverr,Level 1,AI & Machine Learning,LLM Fine-tuning,7.0,0.7,0,81.0,0,58.0,36.0,0,1480.0,282.4,417952.0,24,4.4,0,,1,1.0,0,USA,Payoneer,No - Side Income
PK-FL-00034,2024,Q3,Sargodha,Male,38.0,0,Bachelor's,0,Conversational,0,Upwork,Top Rated Plus,Web Development,Next.js,1.6,1.3,0,88.0,1,34.0,23.0,0,481.0,281.7,135498.0,266,4.9,0,96.0,0,41.0,0,Australia,Skrill,No - Side Income
PK-FL-00035,2025,Q2,Lahore,Male,29.0,0,Bachelor's,0,Fluent,0,Upwork,Rising Talent,Web Development,TypeScript,8.6,1.4,0,93.0,0,46.7,37.0,0,1180.0,278.7,328866.0,15,3.8,0,80.0,0,45.0,0,USA,Payoneer + Wise,Yes
PK-FL-00036,2018,Q4,Hyderabad,Male,33.0,0,PhD/MPhil,0,Conversational,0,Freelancer.com,Pro Freelancer,AI & Machine Learning,Computer Vision,0.9,2.2,0,89.0,0,60.2,88.0,0,3870.0,132.1,511227.0,74,4.3,0,,1,6.0,0,Mixed,Skrill,No - Side Income
PK-FL-00037,2020,Q4,Islamabad,Male,33.0,0,Matric/O-Levels,0,Native/Bilingual,0,Upwork,Rising Talent,Web Development,Node.js,5.4,2.1,1,73.0,0,30.9,57.0,0,1640.0,160.6,263384.0,47,3.6,0,80.0,0,6.0,0,UK,Payoneer,Yes
PK-FL-00038,2019,Q3,Lahore,Female,32.0,0,Master's,0,Basic,0,Upwork,Top Rated,Web Development,React.js,0.8,1.0,0,88.0,1,21.6,161.0,0,2063.0,148.7,306768.0,53,5.0,0,91.0,0,33.0,1,Middle East,Bank Transfer,No - Side Income
PK-FL-00039,2020,Q4,Bahawalpur,Female,41.0,0,Master's,0,Fluent,0,Freelancer.com,Verified Pro,Mobile App Development,Xamarin,2.2,1.9,0,92.0,0,28.0,37.0,0,773.0,156.0,120588.0,218,3.5,0,,1,6.0,0,UK,JazzCash/Easypaisa,Yes
PK-FL-00040,2023,Q4,Peshawar,Female,40.0,0,Intermediate/A-Levels,0,Conversational,0,Upwork,Rising Talent,Video Editing,Podcast Editing,4.0,4.1,0,69.0,0,22.5,101.0,0,2101.0,238.7,501509.0,33,3.8,0,84.0,0,51.0,0,UK,Payoneer,Yes
PK-FL-00041,2017,Q4,Karachi,Female,19.0,0,Bachelor's,1,Native/Bilingual,0,Upwork,No Badge,AI & Machine Learning,Data Analysis,2.3,1.0,0,89.0,0,36.0,38.0,0,1090.0,106.4,115976.0,0,,1,,1,25.0,0,UK,Payoneer,Yes
PK-FL-00042,2024,Q2,Peshawar,Female,23.0,0,Self-taught/No Formal Degree,0,Fluent,0,Fiverr,New Seller,Video Editing,Podcast Editing,9.8,0.3,0,91.0,0,5.5,55.0,0,230.0,280.9,64607.0,3,4.6,0,,1,35.0,0,USA,Skrill,Yes
PK-FL-00043,2024,Q2,Faisalabad,Male,21.0,0,Bachelor's,0,Fluent,0,Fiverr,Level 2,Digital Marketing,Social Media Marketing,4.3,3.0,0,88.0,1,19.8,51.0,0,574.0,281.7,161696.0,127,5.0,0,,1,47.0,0,Middle East,Payoneer,Yes
PK-FL-00044,2017,Q3,Multan,Male,31.0,1,Master's,0,Fluent,0,Fiverr,Level 1,Content Writing,Resume Writing,3.0,3.6,0,74.0,0,2.6,35.0,0,56.0,109.1,6110.0,35,4.0,0,,1,29.0,0,USA,Payoneer,Yes
PK-FL-00045,2022,Q4,Karachi,Male,19.0,0,Bachelor's,0,Basic,0,Upwork,Top Rated,Digital Marketing,Email Marketing,4.5,1.0,0,99.0,0,29.8,105.0,0,3058.0,191.1,584384.0,259,4.6,0,96.0,0,58.0,0,USA,Payoneer,No - Side Income
PK-FL-00046,2025,Q3,Lahore,Female,31.0,0,Self-taught/No Formal Degree,0,Native/Bilingual,0,Fiverr,New Seller,Web Development,React.js,5.5,2.1,1,66.0,0,36.0,58.0,0,1998.0,280.1,559640.0,7,4.8,0,,1,45.0,0,USA,Bank Transfer,No - Side Income
PK-FL-00047,2023,Q3,Islamabad,Male,45.0,0,Master's,0,Fluent,0,Upwork,Rising Talent,Digital Marketing,TikTok Ads,7.9,7.7,0,99.0,0,16.6,127.0,0,1638.0,260.0,425880.0,36,3.7,0,83.0,0,16.0,0,USA,Payoneer + Wise,Yes
PK-FL-00048,2016,Q1,Karachi,Female,38.0,0,Bachelor's,0,Fluent,0,Upwork,No Badge,Web Development,Full Stack (MERN),1.0,1.2,0,75.0,0,12.9,69.0,0,495.0,104.8,51876.0,1,3.3,0,,1,14.0,0,USA,Wise,Yes
PK-FL-00049,2023,Q4,Lahore,Female,42.0,0,Master's,0,Conversational,0,Upwork,Top Rated,Graphic Design,Motion Graphics,1.3,1.3,0,96.0,0,30.9,71.0,0,1847.0,241.7,446420.0,81,4.6,0,96.0,0,55.0,0,Australia,Payoneer,No - Side Income
PK-FL-00050,2018,Q1,Mardan,Female,20.0,0,Intermediate/A-Levels,0,Conversational,0,Fiverr,New Seller,Digital Marketing,Facebook Ads,3.9,1.1,0,96.0,0,7.0,72.0,0,438.0,131.1,57422.0,4,3.4,0,,1,4.0,0,Canada,Payoneer + Bank Transfer,No - Side Income
PK-FL-00051,2021,Q3,Islamabad,Male,24.0,0,Bachelor's,0,Fluent,0,Upwork,Top Rated,Accounting & Finance,Bookkeeping,1.7,1.2,0,94.0,0,23.2,128.0,0,2048.0,173.1,354509.0,65,4.5,0,93.0,0,65.0,0,USA,Payoneer,Yes
PK-FL-00052,2023,Q4,Islamabad,Male,20.0,0,Bachelor's,0,Fluent,0,Freelancer.com,Preferred Freelancer,Mobile App Development,Firebase Integration,1.7,0.6,0,79.0,0,30.7,22.0,0,675.0,238.2,160785.0,18,4.0,0,,1,1.0,0,Australia,Bank Transfer,No - Side Income
PK-FL-00053,2016,Q4,Quetta,Male,22.0,0,Bachelor's,0,Fluent,0,Fiverr,New Seller,Content Writing,Proofreading,1.3,2.5,0,78.0,0,4.0,22.0,0,80.0,104.3,8344.0,0,,1,,1,53.0,0,UK,Wise,No - Side Income
PK-FL-00054,2018,Q3,Sukkur,Male,23.0,0,Bachelor's,1,Native/Bilingual,0,Fiverr,Top Rated Seller,Web Development,TypeScript,2.0,1.1,0,88.0,0,14.4,122.0,0,969.0,130.4,126358.0,134,4.8,0,,1,50.0,0,South Asia,Wise,No - Student
PK-FL-00055,2022,Q2,Islamabad,Male,31.0,1,PhD/MPhil,0,Native/Bilingual,0,Freelancer.com,Preferred Freelancer,AI & Machine Learning,AI Automation,5.5,2.0,0,70.0,0,36.2,147.0,0,4184.0,226.3,946839.0,93,4.3,0,,1,17.0,0,UK,Payoneer,No - Side Income
PK-FL-00056,2024,Q1,Lahore,Male,34.0,0,Self-taught/No Formal Degree,0,Conversational,0,Fiverr,Level 2,Mobile App Development,React Native,0.3,1.4,0,71.0,0,26.3,147.0,0,3438.0,281.7,968485.0,27,3.3,0,,1,11.0,0,Europe,Payoneer,Yes
PK-FL-00057,2024,Q2,Rawalpindi,Male,42.0,0,Bachelor's,0,Fluent,0,Fiverr,Level 1,Graphic Design,Infographic Design,9.6,2.4,0,88.0,1,25.5,138.0,0,2079.0,281.9,586070.0,59,4.0,0,,1,11.0,0,UK,Bank Transfer,No - Student
PK-FL-00058,2019,Q3,Lahore,Male,40.0,0,Bachelor's,0,Fluent,0,Freelancer.com,New Member,Content Writing,Technical Writing,1.3,0.9,0,88.0,0,7.6,148.0,0,768.0,148.6,114125.0,0,,1,,1,33.0,0,UK,Payoneer,No - Side Income
PK-FL-00059,2023,Q2,Karachi,Male,31.0,0,Bachelor's,0,Native/Bilingual,0,Fiverr,New Seller,Mobile App Development,React Native,2.0,3.5,0,66.0,0,33.9,100.0,0,2223.0,284.2,631777.0,0,,1,,1,4.0,0,USA,Bank Transfer,No - Student
PK-FL-00060,2021,Q3,Faisalabad,Male,28.0,0,Bachelor's,1,Native/Bilingual,0,Fiverr,Level 2,Video Editing,YouTube Editing,6.5,2.1,1,95.0,0,12.6,105.0,0,856.0,177.0,151512.0,100,4.5,0,,1,39.0,0,Europe,Payoneer,Yes
PK-FL-00061,2024,Q2,Mirpur (AJK),Male,37.0,0,Master's,0,Fluent,0,Freelancer.com,Preferred Freelancer,Content Writing,Resume Writing,2.5,0.4,0,60.0,0,20.7,165.0,0,2274.0,280.2,637175.0,38,4.2,0,,1,11.0,0,USA,JazzCash/Easypaisa,Yes
PK-FL-00062,2020,Q3,Dera Ghazi Khan,Male,26.0,0,Bachelor's,0,Conversational,0,Upwork,No Badge,Digital Marketing,Facebook Ads,1.0,2.1,0,65.0,0,23.4,150.0,0,3318.0,167.6,556097.0,1,5.0,0,,1,19.0,0,Australia,Payoneer,No - Side Income
PK-FL-00063,2018,Q2,Lahore,Male,27.0,0,Bachelor's,0,Fluent,1,Upwork,Expert-Vetted,Content Writing,Copywriting,1.2,1.3,0,92.0,0,25.4,92.0,1,1734.0,119.2,206693.0,162,4.4,0,97.0,0,44.0,0,Europe,Wise,No - Student
PK-FL-00064,2019,Q1,Lahore,Male,41.0,0,Self-taught/No Formal Degree,0,Fluent,0,Freelancer.com,Preferred Freelancer,Digital Marketing,Google Ads,4.4,3.3,0,69.0,0,24.8,18.0,0,361.0,154.8,55883.0,109,4.8,0,,1,33.0,1,Canada,Payoneer + Wise,No - Side Income
PK-FL-00065,2019,Q1,Faisalabad,Male,31.0,1,Master's,0,Conversational,0,Fiverr,New Seller,AI & Machine Learning,Computer Vision,3.6,2.9,0,78.0,0,23.7,124.0,0,2026.0,154.1,312207.0,3,4.9,0,,1,16.0,0,Europe,Wise,No - Student
PK-FL-00066,2015,Q3,Lahore,Male,43.0,0,Bachelor's,0,Fluent,0,Upwork,No Badge,Content Writing,Technical Writing,0.2,0.4,0,83.0,0,2.9,167.0,0,403.0,103.4,41670.0,0,,1,,1,35.0,0,Australia,Payoneer + Wise,No - Side Income
PK-FL-00067,2024,Q3,Islamabad,Male,44.0,0,Self-taught/No Formal Degree,0,Fluent,0,Fiverr,New Seller,AI & Machine Learning,ChatGPT Integration,0.9,2.0,0,71.0,0,17.5,106.0,0,1021.0,278.4,284246.0,0,,1,,1,45.0,0,Australia,Payoneer + Wise,Yes
PK-FL-00068,2021,Q3,Mingora,Male,39.0,0,Bachelor's,1,Fluent,0,Fiverr,New Seller,Video Editing,Corporate Video,6.4,7.0,0,88.0,1,14.6,153.0,0,1756.0,171.7,301505.0,2,4.0,0,,1,4.0,0,Europe,Wise,No - Student
PK-FL-00069,2023,Q1,Rawalpindi,Male,18.0,0,Bachelor's,0,Conversational,0,Upwork,No Badge,Mobile App Development,App UI/UX,6.1,0.5,0,98.0,0,36.0,32.0,0,923.0,247.6,228535.0,4,4.2,0,82.0,0,14.0,0,USA,Payoneer,Yes
PK-FL-00070,2022,Q3,Mirpur (AJK),Female,37.0,0,Bachelor's,0,Conversational,0,Freelancer.com,New Member,Web Development,Django,4.7,2.7,0,95.0,0,27.0,68.0,0,1206.0,217.3,262064.0,11,4.6,0,,1,34.0,0,South Asia,Wise,No - Side Income
PK-FL-00071,2019,Q3,Islamabad,Male,33.0,0,Self-taught/No Formal Degree,0,Conversational,0,Fiverr,New Seller,Data Entry & Virtual Assistant,Virtual Assistant,4.4,5.4,0,94.0,0,3.1,62.0,0,116.0,152.1,17644.0,7,3.9,0,,1,32.0,0,USA,Skrill,Yes
PK-FL-00072,2024,Q1,Karachi,Male,29.0,0,Bachelor's,0,Fluent,0,Upwork,Rising Talent,Content Writing,Academic Writing,8.0,6.8,0,90.0,0,20.9,134.0,0,2026.0,280.5,568293.0,46,4.0,0,85.0,0,9.0,0,UK,Wise,Yes
PK-FL-00073,2016,Q3,Lahore,Male,37.0,0,Self-taught/No Formal Degree,0,Native/Bilingual,0,Freelancer.com,New Member,Graphic Design,Illustration,0.4,2.1,1,69.0,0,9.7,137.0,0,1310.0,104.3,136633.0,1,4.6,0,,1,53.0,0,Australia,Payoneer,Yes
PK-FL-00074,2024,Q2,Karachi,Male,29.0,0,Bachelor's,0,Fluent,0,Upwork,Expert-Vetted,Digital Marketing,Social Media Marketing,1.2,2.1,1,90.0,0,86.2,76.0,0,4816.0,278.1,1339330.0,226,4.5,0,99.0,0,26.0,0,USA,Wise,Yes
PK-FL-00075,2025,Q2,Faisalabad,Male,19.0,0,Bachelor's,0,Fluent,0,Upwork,Top Rated,Web Development,React.js,5.8,1.0,0,89.0,0,67.8,122.0,0,4720.0,279.9,1321128.0,58,4.9,0,94.0,0,48.0,0,USA,Payoneer + Wise,No - Side Income
PK-FL-00076,2024,Q3,Karachi,Male,31.0,0,Bachelor's,0,Conversational,0,Fiverr,Level 1,Content Writing,Product Descriptions,2.2,1.8,0,78.0,0,19.8,94.0,0,1262.0,284.0,358408.0,22,4.5,0,,1,17.0,0,Canada,JazzCash/Easypaisa,Yes
PK-FL-00077,2024,Q4,Islamabad,Male,23.0,0,Intermediate/A-Levels,0,Fluent,0,Fiverr,New Seller,Digital Marketing,Social Media Marketing,8.0,1.8,0,89.0,0,6.2,27.0,0,141.0,284.7,40143.0,0,,1,,1,44.0,0,UK,Wise,Yes
PK-FL-00078,2018,Q4,Multan,Male,22.0,0,Bachelor's,0,Native/Bilingual,0,Upwork,Rising Talent,Video Editing,Subtitles & Captions,1.7,1.9,0,76.0,0,18.9,160.0,0,2763.0,133.5,368860.0,15,3.7,0,85.0,0,30.0,0,UK,Skrill,Yes
PK-FL-00079,2022,Q2,Karachi,Male,45.0,0,Bachelor's,0,Native/Bilingual,0,Fiverr,Level 1,Web Development,TypeScript,4.2,2.8,0,66.0,0,31.9,51.0,0,1185.0,207.0,245295.0,49,3.5,0,,1,11.0,0,USA,Payoneer + Bank Transfer,No - Side Income
PK-FL-00080,2017,Q2,Dera Ghazi Khan,Male,31.0,1,Self-taught/No Formal Degree,0,Fluent,0,Upwork,Top Rated,Web Development,React.js,1.7,2.8,0,96.0,0,14.5,124.0,0,1304.0,108.3,141223.0,39,4.7,0,96.0,0,42.0,0,Canada,Payoneer,Yes
PK-FL-00081,2025,Q4,Islamabad,Male,34.0,0,Self-taught/No Formal Degree,0,Fluent,0,Upwork,Rising Talent,Data Entry & Virtual Assistant,Lead Generation,0.7,1.5,0,61.0,0,2.4,46.0,0,67.0,281.6,18867.0,9,4.2,0,81.0,0,6.0,0,Australia,Bank Transfer,No - Side Income
PK-FL-00082,2020,Q3,Islamabad,Male,39.0,0,Bachelor's,1,Fluent,0,Upwork,Rising Talent,AI & Machine Learning,Python/ML,5.4,1.0,0,75.0,0,23.0,71.0,0,1113.0,157.3,175075.0,42,4.9,0,75.0,0,33.0,1,USA,Bank Transfer,No - Side Income
PK-FL-00083,2023,Q1,Larkana,Male,32.0,0,Intermediate/A-Levels,0,Native/Bilingual,0,Fiverr,Top Rated Seller,Mobile App Development,Xamarin,4.0,2.1,1,94.0,0,81.1,130.0,0,6316.0,280.8,1773533.0,259,4.5,0,,1,68.0,0,Middle East,Payoneer,No - Side Income
PK-FL-00084,2020,Q4,Lahore,Male,20.0,0,Bachelor's,0,Conversational,0,Freelancer.com,Verified Pro,Content Writing,Technical Writing,0.6,0.9,0,99.0,0,9.2,135.0,0,704.0,159.0,111936.0,126,4.4,0,,1,4.0,0,UK,JazzCash/Easypaisa,No - Student
PK-FL-00085,2018,Q4,Sukkur,Male,33.0,0,Intermediate/A-Levels,0,Fluent,0,Upwork,Top Rated Plus,Digital Marketing,Facebook Ads,2.3,2.3,0,97.0,0,40.4,91.0,0,2060.0,133.8,275628.0,190,4.9,0,98.0,0,56.0,0,Mixed,Payoneer + Wise,No - Side Income
PK-FL-00086,2025,Q4,Peshawar,Male,31.0,0,Self-taught/No Formal Degree,0,Conversational,0,Upwork,Top Rated,Graphic Design,UI/UX Design,7.1,0.4,0,88.0,0,24.2,149.0,0,3405.0,283.3,964636.0,192,4.6,0,94.0,0,35.0,0,USA,Payoneer + Wise,Yes
PK-FL-00087,2022,Q1,Karachi,Male,42.0,0,Intermediate/A-Levels,0,Native/Bilingual,0,Upwork,Top Rated,Digital Marketing,Google Ads,6.3,3.8,0,96.0,0,14.3,90.0,0,1254.0,210.7,264218.0,72,4.6,0,93.0,0,37.0,0,Australia,Payoneer,Yes
PK-FL-00088,2021,Q3,Lahore,Male,43.0,0,Self-taught/No Formal Degree,0,Fluent,0,Fiverr,New Seller,Digital Marketing,Email Marketing,5.1,0.4,0,99.0,0,19.8,145.0,0,2094.0,173.2,362681.0,4,4.1,0,,1,34.0,0,Australia,Wise,No - Side Income
PK-FL-00089,2024,Q3,Abbottabad,Male,41.0,0,Master's,0,Native/Bilingual,0,Freelancer.com,New Member,Content Writing,Copywriting,6.0,5.8,0,61.0,0,16.7,43.0,0,563.0,283.6,159667.0,11,4.1,0,,1,27.0,0,Mixed,Wise,No - Student
PK-FL-00090,2022,Q4,Mardan,Male,37.0,0,Bachelor's,0,Native/Bilingual,0,Fiverr,Level 2,Data Entry & Virtual Assistant,Virtual Assistant,2.2,2.9,0,62.0,0,5.2,45.0,0,167.0,226.8,37876.0,114,4.2,0,,1,29.0,0,Europe,Payoneer,Yes
